epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1244.25,1.97097,3.42574,2.1836,0.002,0.69231,0.01345,0.00437,2.2645,3.71627,2.47408,0.000911,0.000911,0.000911
112,1257.74,2.03955,3.5196,2.21697,0.00222,0.84615,0.01857,0.00611,2.17732,3.76725,2.46458,0.0009011,0.0009011,0.0009011
113,1266.97,2.02509,3.24206,2.18748,0.00324,0.76923,0.04677,0.01221,2.14602,3.45498,2.35361,0.0008912,0.0008912,0.0008912
114,1276.68,1.99747,3.47354,2.22672,0.0303,0.30769,0.03076,0.01012,2.09094,3.435,2.32494,0.0008813,0.0008813,0.0008813
115,1286.15,1.99301,3.48764,2.10706,0.00385,0.84615,0.03976,0.01551,1.97372,3.28078,2.26565,0.0008714,0.0008714,0.0008714
116,1297.27,2.00433,3.28349,2.24009,0.00353,0.84615,0.02751,0.01375,1.91209,3.31835,2.20808,0.0008615,0.0008615,0.0008615
117,1307.64,2.07965,3.36736,2.20959,0.00335,0.76923,0.03343,0.01455,2.06281,3.39966,2.32478,0.0008516,0.0008516,0.0008516
118,1322.9,2.09853,3.20102,2.23444,0.00338,0.76923,0.04623,0.01796,2.20614,3.46666,2.45258,0.0008417,0.0008417,0.0008417
119,1332.45,2.0454,3.17339,2.18823,0.04884,0.38462,0.05829,0.02042,2.19262,nan,2.38143,0.0008318,0.0008318,0.0008318
120,1342.33,1.93419,3.36678,2.09265,0.00556,0.69231,0.07175,0.02152,2.14418,nan,2.30189,0.0008219,0.0008219,0.0008219
121,1351.7,2.1132,3.40743,2.24308,0.01278,0.30769,0.02756,0.00861,2.19338,3.75874,2.35316,0.000812,0.000812,0.000812
122,1359.97,2.01574,3.2311,2.17625,0.00401,0.76923,0.02065,0.0092,2.16585,3.55865,2.36377,0.0008021,0.0008021,0.0008021
123,1372.38,1.99537,3.32114,2.15318,0.00442,0.76923,0.02891,0.011,2.18894,3.60161,2.35901,0.0007922,0.0007922,0.0007922
124,1381.54,1.96736,3.15441,2.1763,0.07987,0.23077,0.03711,0.01358,2.19718,3.55655,2.38824,0.0007823,0.0007823,0.0007823
125,1393.74,1.85688,3.07142,2.10653,0.05711,0.23077,0.04195,0.01749,2.1103,3.53965,2.35436,0.0007724,0.0007724,0.0007724
126,1402.59,1.92669,2.90352,2.14719,0.03006,0.07692,0.01698,0.0081,2.03902,3.64583,2.29492,0.0007625,0.0007625,0.0007625
127,1413.54,1.93949,3.19229,2.1853,0.18425,0.15385,0.0596,0.02357,2.13102,3.48766,2.33419,0.0007526,0.0007526,0.0007526
128,1423.18,1.96368,3.1767,2.19038,0.10409,0.15385,0.07019,0.0315,2.16151,3.38744,2.31767,0.0007427,0.0007427,0.0007427
129,1431.64,2.01875,2.93825,2.26396,0.16424,0.13732,0.08604,0.03555,2.08637,3.40644,2.30556,0.0007328,0.0007328,0.0007328
130,1444.24,1.98669,2.92124,2.18642,0.16893,0.15385,0.07933,0.03453,2.01269,3.27809,2.31921,0.0007229,0.0007229,0.0007229
131,1453.36,1.94409,3.23155,2.11748,0.21819,0.30769,0.12078,0.0372,2.00875,3.20561,2.35216,0.000713,0.000713,0.000713
132,1465.58,1.87648,3.00184,2.06328,0.07785,0.15385,0.04905,0.0192,1.97181,3.44667,2.30219,0.0007031,0.0007031,0.0007031
133,1473.84,2.05244,3.15605,2.22564,0.13483,0.15385,0.0714,0.02327,1.99832,3.25608,2.25482,0.0006932,0.0006932,0.0006932
134,1483.12,1.83643,3.15422,2.01921,0.1339,0.15385,0.03837,0.01837,2.13345,3.49986,2.31645,0.0006833,0.0006833,0.0006833
135,1494.12,1.98107,2.8638,2.14045,0.22604,0.15385,0.07247,0.02977,2.16974,3.43655,2.39324,0.0006734,0.0006734,0.0006734
136,1508.58,2.0432,3.09823,2.19708,0.2314,0.23077,0.10781,0.0443,2.19431,3.26242,2.49742,0.0006635,0.0006635,0.0006635
137,1519.66,1.93159,2.97844,2.09205,0.09534,0.23077,0.06195,0.02592,2.24907,3.69065,2.61269,0.0006536,0.0006536,0.0006536
138,1530.45,1.99885,3.01062,2.16196,0.04942,0.15385,0.04035,0.01925,2.20995,3.75428,2.57222,0.0006437,0.0006437,0.0006437
139,1539.57,1.98636,2.99655,2.18714,0.25972,0.16282,0.09237,0.02206,2.09031,3.41425,2.34226,0.0006338,0.0006338,0.0006338
140,1550.95,1.91377,2.92225,2.17606,0.10404,0.07692,0.03472,0.01436,2.06818,3.56676,2.31518,0.0006239,0.0006239,0.0006239
141,1559.36,1.79812,2.81341,2.05576,0.09246,0.07692,0.0378,0.01551,2.04979,3.5017,2.28969,0.000614,0.000614,0.000614
142,1569.53,2.0274,2.91448,2.26712,0.43104,0.07692,0.08448,0.03332,1.91793,3.55559,2.21165,0.0006041,0.0006041,0.0006041
143,1580.8,1.81091,2.75091,2.12743,0.25434,0.07692,0.06221,0.02215,1.92444,3.73424,2.21346,0.0005942,0.0005942,0.0005942
144,1588.76,1.86392,2.80772,2.1589,0.49708,0.07647,0.09117,0.03882,2.02364,3.88471,2.24675,0.0005843,0.0005843,0.0005843
145,1598.23,2.08536,2.69024,2.26547,0.17624,0.23077,0.07752,0.02855,2.07256,3.44256,2.32414,0.0005744,0.0005744,0.0005744
146,1619.79,1.92822,2.96753,2.17274,0.10769,0.15385,0.09726,0.03943,2.07883,3.22736,2.30299,0.0005645,0.0005645,0.0005645
147,1630.39,1.95803,2.84751,2.17954,0.15868,0.15385,0.07658,0.04064,1.87847,3.33579,2.14,0.0005546,0.0005546,0.0005546
148,1639.57,1.99923,2.70954,2.1301,0.31192,0.35003,0.18436,0.08773,1.86467,3.01106,2.1452,0.0005447,0.0005447,0.0005447
149,1648.75,1.82229,2.5627,2.04703,0.27987,0.30769,0.18873,0.07215,1.91401,2.95487,2.18497,0.0005348,0.0005348,0.0005348
150,1659.34,1.91255,2.68725,2.09912,0.40917,0.15385,0.15689,0.0418,1.87051,3.5803,2.17964,0.0005249,0.0005249,0.0005249
151,1668.36,1.89905,2.65003,2.12629,0.21982,0.15385,0.11456,0.04733,1.94541,3.36327,2.22301,0.000515,0.000515,0.000515
152,1676.61,1.8359,2.66408,2.04575,0.18316,0.07692,0.10658,0.03644,2.08109,3.53515,2.34771,0.0005051,0.0005051,0.0005051
153,1685.72,1.83211,2.86244,2.08858,0.44671,0.15385,0.11586,0.05567,1.94211,3.11249,2.19229,0.0004952,0.0004952,0.0004952
154,1698.92,2.04884,2.81269,2.18966,0.20686,0.15385,0.07793,0.02654,1.91996,3.22086,2.22321,0.0004853,0.0004853,0.0004853
155,1710.1,1.92908,2.72238,2.10245,0.26317,0.15385,0.12362,0.02621,1.96087,3.23569,2.26628,0.0004754,0.0004754,0.0004754
156,1720.72,1.92182,2.90602,2.06746,0.16357,0.15385,0.08791,0.03947,1.79866,2.97238,2.05393,0.0004655,0.0004655,0.0004655
157,1734.95,1.90191,2.57426,2.15532,0.20358,0.30769,0.13185,0.05143,1.90951,2.88198,2.10284,0.0004556,0.0004556,0.0004556
158,1744.24,1.88404,2.48791,2.10331,0.21982,0.15385,0.09817,0.04686,1.83808,2.98082,2.07941,0.0004457,0.0004457,0.0004457
159,1756.5,1.77864,3.10492,1.98071,0.20814,0.15385,0.12381,0.03009,1.9378,3.43707,2.18428,0.0004358,0.0004358,0.0004358
160,1764.67,1.87724,2.6886,2.09274,0.61807,0.15385,0.14831,0.05094,1.93263,3.37078,2.19154,0.0004259,0.0004259,0.0004259
161,1776.35,1.91827,2.59442,2.13064,0.19417,0.15385,0.09308,0.02662,1.8856,3.53792,2.1468,0.000416,0.000416,0.000416
162,1785.49,1.85567,2.54127,2.07941,0.37439,0.23077,0.14553,0.04593,1.93397,3.42791,2.14704,0.0004061,0.0004061,0.0004061
163,1797.12,1.88526,2.52084,2.05231,0.20769,0.23077,0.12713,0.05186,1.95595,3.20879,2.16953,0.0003962,0.0003962,0.0003962
164,1811.55,1.90035,2.4764,2.11309,0.39608,0.23077,0.22244,0.08625,2.02743,3.16647,2.23309,0.0003863,0.0003863,0.0003863
165,1819.99,1.82922,2.61963,2.03583,0.38042,0.30769,0.24068,0.1202,2.07372,3.08074,2.3104,0.0003764,0.0003764,0.0003764
166,1838.23,1.83364,2.99672,1.99568,0.45909,0.23077,0.25163,0.0986,2.06791,2.984,2.29715,0.0003665,0.0003665,0.0003665
167,1852.01,1.86016,2.62134,2.09494,0.45105,0.23077,0.26703,0.12438,2.01903,3.31856,2.24418,0.0003566,0.0003566,0.0003566
168,1864.56,1.8698,2.71726,2.10285,0.27687,0.23077,0.19532,0.09221,1.96929,3.31752,2.17729,0.0003467,0.0003467,0.0003467
169,1876.17,1.87146,2.71268,2.09187,0.47795,0.15385,0.1642,0.07091,1.94564,3.25583,2.1395,0.0003368,0.0003368,0.0003368
170,1885.36,1.93459,2.61708,2.12737,0.39555,0.15385,0.18055,0.08815,2.02308,3.04058,2.29846,0.0003269,0.0003269,0.0003269
171,1894.39,1.74281,2.49798,1.97408,0.28259,0.15385,0.15911,0.0767,2.03835,2.9965,2.3404,0.000317,0.000317,0.000317
172,1904.04,1.87843,2.7054,2.127,0.28483,0.30769,0.15495,0.06332,2.04865,2.881,2.3145,0.0003071,0.0003071,0.0003071
173,1915.31,1.76201,2.39388,2.01993,0.21315,0.23077,0.15455,0.06419,2.00438,2.93371,2.24463,0.0002972,0.0002972,0.0002972
174,1925.54,1.78354,2.25726,1.9881,0.29418,0.23077,0.17012,0.07243,1.9924,3.04015,2.21584,0.0002873,0.0002873,0.0002873
175,1933.84,1.90175,2.61695,2.11367,0.5395,0.23077,0.23235,0.10765,2.02078,3.01907,2.2538,0.0002774,0.0002774,0.0002774
176,1942.76,1.81076,2.35798,2.02992,0.29886,0.23077,0.19414,0.08533,2.12851,3.05801,2.36321,0.0002675,0.0002675,0.0002675
177,1951.15,1.8948,2.4333,2.09581,0.72426,0.15385,0.2471,0.1224,2.11211,3.04629,2.3668,0.0002576,0.0002576,0.0002576
178,1966.96,1.886,2.42585,2.09615,0.25533,0.23077,0.21962,0.10044,2.04146,2.94454,2.29444,0.0002477,0.0002477,0.0002477
179,1983.63,1.86442,2.48642,2.10831,0.63518,0.23077,0.23692,0.09412,1.95067,2.90331,2.20776,0.0002378,0.0002378,0.0002378
180,1998.19,1.91741,2.52452,2.08713,0.73416,0.23077,0.24398,0.09603,1.91985,2.90145,2.17424,0.0002279,0.0002279,0.0002279
181,2011.67,1.83584,2.36775,2.02725,0.60545,0.23077,0.26741,0.11272,1.92611,2.89625,2.17633,0.000218,0.000218,0.000218
182,2024.9,1.8415,2.64578,1.99603,0.55314,0.23077,0.28602,0.13031,1.9359,2.94191,2.18497,0.0002081,0.0002081,0.0002081
183,2034.83,1.88588,2.61575,1.99689,0.56526,0.23077,0.30517,0.14352,1.9493,2.95378,2.18227,0.0001982,0.0001982,0.0001982
184,2044.9,1.87152,2.42737,2.0682,0.5043,0.23077,0.26329,0.12138,1.94539,2.9186,2.17811,0.0001883,0.0001883,0.0001883
